id;projet_millesime;projet_theme;projet_libelle;projet_localisation;projet_secteur;projet_statut;meta_datcreat;meta_datmaj;meta_source;meta_insee;meta_siren;meta_licence;meta_genealogie;meta_actif;projet_cout;projet_numero;porteur_collectif;projet_sous_theme;projet_description;type_sectorisation;secteur_numero;secteur_nom;meta_datsupp;meta_resolution;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
1;2017;Aménagement de l'espace public et mobilier urbain;Verdir la place des noces de feu;rue des noces de feu à Montfavet;Montfavet;mis au vote;20181022152424.574055;20181022152424.574055;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;t;5000;42;;;;;;;;;84007-budgetParticipatif2017;851635.3098744678;6316101.441810801;4.88835011146989;43.927597908976644;43.927597908976644;4.88835011146989
2;2017;Environnement, nature en ville, propreté;Plantation de Tilleuls;boulevard Paul Chabas;Nord;mis au vote;20181022152424.574055;20181022152424.574055;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;t;10000;43;;;;;;;;;84007-budgetParticipatif2017;845998.8676249591;6317734.345549513;4.818651733940956;43.943479876239344;43.943479876239344;4.818651733940956
3;2017;Solidarité, citoyenneté, intergénérationnel;Création d'un lieu convivial;Cité Louis Gros;Ouest;mis au vote;20181022152424.574055;20181022152424.574055;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;t;50000;49;;;;;;;;;84007-budgetParticipatif2017;844612.6532481977;6316763.575009668;4.801114433563741;43.93503155391991;43.93503155391991;4.801114433563741
4;2017;Environnement, nature en ville, propreté;Jardins partagés;Montfavet;Montfavet;retenu;20181022152424.574055;20181022152424.574055;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;t;22000;39;;;;;;;;;84007-budgetParticipatif2017;850630.777380554;6316670.634609341;4.876013528712932;43.93293439739939;43.93293439739939;4.876013528712932
10;2017;Aménagement de l'espace public et mobilier urbain;Bien dans ma cabane (cabane dans les arbres);Parc Chico Mendes;Est;retenu;20181022152424.574055;20181022152424.574055;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;t;60000;02;;;;;;;;;84007-budgetParticipatif2017;848368.162273865;6318052.3949898975;4.84824715004551;43.94584637477021;43.94584637477021;4.84824715004551
11;2017;Aménagement de l'espace public et mobilier urbain;Aire de jeux "Broquetons";Montfavet;Montfavet;mis au vote;20181022152424.574055;20181022152424.574055;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;t;60000;12;;;;;;;;;84007-budgetParticipatif2017;850870.1189258128;6315832.882854612;4.878745055527494;43.92534594367621;43.92534594367621;4.878745055527494
15;2017;Aménagement de l'espace public et mobilier urbain;Mise en place d'agrés au parc massillargues;parc du clos de massillargues;nord;mis au vote;20181022152424.574055;20181022152424.574055;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;t;60000;03;;;;;;;;;84007-budgetParticipatif2017;847640.0026536412;6318638.6010658275;4.8393497046238245;43.951273584939024;43.951273584939024;4.8393497046238245
16;2017;Aménagement de l'espace public et mobilier urbain;Rénovation et embellissement du passage de l'Oratoire;Passage de l'Oratoire;intra;retenu;20181022152424.574055;20181022152424.574055;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;t;80000;07;;;;;;;;;84007-budgetParticipatif2017;844677.8056881359;6318331.338460798;4.8023712281969955;43.94912375575197;43.94912375575197;4.8023712281969955
17;2017;Aménagement de l'espace public et mobilier urbain;Aménagement de la cour médiévale ;Montfavet;Montfavet;retenu;20181022152424.574055;20181022152424.574055;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;t;80000;08;;;;;;;;;84007-budgetParticipatif2017;850173.006290177;6316912.1635225415;4.8703856467548405;43.93520516247011;43.93520516247011;4.8703856467548405
18;2017;Aménagement de l'espace public et mobilier urbain;Aménagement de la place de l'église de Montfavet;Montfavet;Montfavet;retenu;20181022152424.574055;20181022152424.574055;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;t;30000;09;;;;;;;;;84007-budgetParticipatif2017;850245.4262447311;6316954.271448176;4.871299716836484;43.93556856902832;43.93556856902832;4.871299716836484
