gid;code_lot;nom;secteur;sous_secteur;horaires_site;observations;num_voie;lib_voie;ville;code_crige;statut;accessibilite;gardiennage;meta_datcreat;meta_datmaj;meta_datsupp;meta_source;meta_insee;meta_siren;meta_genealogie;meta_resolution;meta_licence;meta_actif;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
"";"N03027";"PARC DE LA CANTONNE";"ESPACES VERTS";"PARCS ET JARDINS";"8h00 à 18h00 d'octobre à mars, de 8h00 à 20h30 d'avril à septembre";"";"";"AVENUE DES VERTES RIVES";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"850309.3912135646";"6317095.10565811";"4.8721376792016935";"43.9368220168511";"43.9368220168511";"4.8721376792016935"
"";"N03002";"PARC DU CLOS DE LA MURETTE";"ESPACES VERTS";"PARCS ET JARDINS";"Ouverture 8h / fermeture à 17h30 de décembre à janvier- 18h00 en novembre et décembre, à 18h30 en octobre- 19h00 en mars - 20h00 durant les mois de septembre, avril et mai - 21h00 durant les mois de juin, juillet et août ";"";"";"RUE DIANE DE POITIERS";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"846475.9118707614";"6315901.650380798";"4.824064710287068";"43.926891778761444";"43.926891778761444";"4.824064710287068"
"";"N03047";"CLOS DE MASSILLARGUES";"ESPACES VERTS";"PARCS ET JARDINS";"Ouverture 8h / fermeture à 17h30 de décembre à janvier- 18h00 en novembre et décembre, à 18h30 en octobre- 19h00 en mars - 20h00 durant les mois de septembre, avril et mai - 21h00 durant les mois de juin, juillet et août ";"";"";"CHE DE MASSILLARGUES";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"847638.9003924575";"6318674.821527705";"4.839346486658301";"43.9515996992226";"43.9515996992226";"4.839346486658301"
"";"N03044";"PARC DE LA CROIX DE NOVES";"ESPACES VERTS";"PARCS ET JARDINS";"Ouverture 8h / fermeture à 17h30 de décembre à janvier- 18h00 en novembre et décembre, à 18h30 en octobre- 19h00 en mars - 20h00 durant les mois de septembre, avril et mai - 21h00 durant les mois de juin, juillet et août ";"";"";"AVENUE DE LA CROIX ROUGE";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"847645.0023409601";"6315844.194271831";"4.838601497450332";"43.92613084842938";"43.92613084842938";"4.838601497450332"
"";"";"SQUARE PENISCOLA";"ESPACES VERTS";"PARCS ET JARDINS";"accès libre";"";"";"";"Avignon";"";"réalisé";"";"";"20170620162850";"20170623150155.369";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"847174.3104352641";"6318236.226115501";"4.833433665515599";"43.9477507932939";"43.9477507932939";"4.833433665515599"
"";"";"SQUARE ARAGONNAIS";"ESPACES VERTS";"PARCS ET JARDINS";"accès libre";"";"";"";"Avignon";"";"réalisé";"";"";"20170620162850";"20170623150155.369";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"847096.6953496116";"6318213.22";"4.832460467819686";"43.947560015350334";"43.947560015350334";"4.832460467819686"
"";"";"PLAINE DES SPORTS";"ESPACES VERTS";"PARCS ET JARDINS";"accès libre";"";"";"";"Avignon";"";"réalisé";"";"";"20211004140229";"20211004143820";"";"Mairie Avignon";"84007";"218400075";"Créé par IG & OPD";"1/500";"Licence Ouverte (LO)";"t";"847949.3188614281";"6316163.457974469";"4.8424824842048215";"43.92893945969849";"43.92893945969849";"4.8424824842048215"
"";"";"Parc de la Laïcité";"ESPACES VERTS";"PARCS ET JARDINS";"";"";"";"";"Avignon";"";"";"";"";"20220124102117";"20220124102401";"";"Mairie Avignon";"84007";"218400075";"Créé par IG & OPD";"1/500";"Licence Ouverte (LO)";"t";"844215.0215443512";"6316517.454069566";"4.796094027057026";"43.93289865189605";"43.93289865189605";"4.796094027057026"
"";"";"Square Anne Frank";"ESPACES VERTS";"PARCS ET JARDINS";"";"";"";"";"Avignon";"";"";"";"";"20220124102251";"20220124102401";"";"Mairie Avignon";"84007";"218400075";"Créé par IG & OPD";"1/500";"Licence Ouverte (LO)";"t";"844997.1886791999";"6316725.003421057";"4.8058910736156655";"43.934605482436815";"43.934605482436815";"4.8058910736156655"
"";"";"Esplanade Jean Garcin";"ESPACES VERTS";"NULLPARCS ET JARDINS";"";"";"";"";"Avignon";"";"";"";"";"20220124102817";"20220124102925";"";"Mairie Avignon";"84007";"218400075";"Créé par IG & OPD";"1/500";"Licence Ouverte (LO)";"t";"844434.7299064475";"6318122.404457673";"4.7992847808178825";"43.947293800557745";"43.947293800557745";"4.7992847808178825"
"";"";"Parc Julie-Victoire Daubié";"ESPACES VERTS";"PARCS ET JARDINS";"accès libre";"Absent de la base patrimoine";"";"";"Avignon";"";"réalisé";"";"";"20170620162850";"20220124103201";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"844836.8765030956";"6315741.255";"4.803615324138986";"43.925787481313485";"43.925787481313485";"4.803615324138986"
