id;libelle;txt;lib_ref_merimee;lib_num_mh;lib_datation;lib_prescription_particuliere;lib_adresse;lib_url_merimee;lib_protection;lib_patrimoine_mondial;lib_autre_nom;lib_url_photo;lib_ref_cadastrale;meta_insee;meta_siren;meta_datcreat;meta_datmaj;meta_datsupp;meta_source;meta_genealogie;meta_resolution;meta_observations;etiq_x;etiq_y;meta_actif;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
"126";"Hôtel";"Hôtel";"PA00081882";"110";"";"Façades et couvertures de l'hôtel du 18e siècle (cad : MM 112): inscription par arrêté du 28 octobre 1949";"4 rue Violette";"http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00081882";"Inscrit";"";"Hôtel 4, rue Violette";"";"1949 MM 112 ; 1998 DH 151";"84007";"218400075";"20070612000000";"20130716000000";"";"Mairie Avignon";"Extraction des données relatifs aux monuments historiques du PSMV 20130716 d'Avignon.Le PSMV d'Avignon a été mis au format SIG/CNIG par la Ville d'Avignon.Les données iniales proviennent de l'Etat sous format microstation.";"1/1000";"";"";"";"t";"844877.7265782849";"6317883.126594227";"4.804733343986677";"43.945049974400845";"43.945049974400845";"4.804733343986677"
"127";"Immeuble";"Immeuble";"PA00081889";"";"";"La porte du 17e siècle de l'immeuble sis anciennement 7 rue Dorée  aujourd'hui 7, rue Chauffard : inscription par arrêté du 23 novembre 1949";"7 rue Dorée";"http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00081889";"Inscrit";"";"Maison (ancienne) 7, rue Dorée";"";"1998 DI 459";"84007";"218400075";"20070612000000";"20130716000000";"";"Mairie Avignon";"Extraction des données relatifs aux monuments historiques du PSMV 20130716 d'Avignon.Le PSMV d'Avignon a été mis au format SIG/CNIG par la Ville d'Avignon.Les données iniales proviennent de l'Etat sous format microstation.";"1/1000";"";"";"";"t";"844923.439909724";"6318150.042121703";"4.805378601508216";"43.94744208342377";"43.94744208342377";"4.805378601508216"
"128";"Immeubles";"Immeubles";"PA00081886";"";"";"Les façades et toitures des immeubles sis sur le côté droit de la rue de la Balance et portant les numéros pairs, de 2 à 52 : inscription par arrêté du 20 novembre 1942";"Rue de la Balance";"http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00081886";"Inscrit";"";"Maison 36, rue de la Balance";"";"1998 DI 320";"84007";"218400075";"20070612000000";"20130716000000";"";"Mairie Avignon";"Extraction des données relatifs aux monuments historiques du PSMV 20130716 d'Avignon.Le PSMV d'Avignon a été mis au format SIG/CNIG par la Ville d'Avignon.Les données iniales proviennent de l'Etat sous format microstation.";"1/1000";"";"";"";"t";"844949.1353859998";"6318614.671509726";"4.8058309382928375";"43.951617202342405";"43.951617202342405";"4.8058309382928375"
"129";"Marché de Franque";"Marché de Franque";"PA00081939";"";"";"-Façade sur rue et toiture correspondante de l'immeuble, 29 rue du Vieux Sextier (cad. DK 768) : inscription par arrêté du 17 janvier 1992-Façade sur rue et toiture correspondante de l'immeuble, 22 rue du Vieux Sextier (cad. DK 740) : inscription par arrêté du 14 octobre 1991-Façade sur rue et toiture correspondante de l'immeuble, 22 rue du Vieux Sextier (cad. DK 763) : inscription par arrêté du 14 octobre 1991-Façade sur rue et toiture correspondante de l'immeuble, 22ter rue du Vieux Sextier (cad. DK 739) : inscription par arrêté du 10 mai 1991-Façade sur rue et toiture correspondante de l'immeuble, 20 rue du Vieux Sextier (cad. DK 761) : inscription par arrêté du 21 février 1989";"22 rue du Vieux-Sextier";"http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00081939";"Inscrit";"";"Marché de Franque (ancien)";"";"1998 DK 739, 740, 761, 763, 768";"84007";"218400075";"20070612000000";"20130716000000";"";"Mairie Avignon";"Extraction des données relatifs aux monuments historiques du PSMV 20130716 d'Avignon.Le PSMV d'Avignon a été mis au format SIG/CNIG par la Ville d'Avignon.Les données iniales proviennent de l'Etat sous format microstation.";"1/1000";"";"";"";"t";"845184.452052665";"6318253.629687331";"4.808658567575074";"43.94832033834933";"43.94832033834933";"4.808658567575074"
"130";"Cathédrale Notre-Dame des Doms";"Cathédrale Notre-Dame des Doms";"PA00081814";"";"";"Cathédrale Notre-Dame des Doms : classement par liste de 1840";"Place du Palais";"http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00081814";"Classé";"oui";"Cathédrale Notre-Dame-des-Doms";"";"1998 DK 153";"84007";"218400075";"20070612000000";"20130716000000";"";"Mairie Avignon";"Extraction des données relatifs aux monuments historiques du PSMV 20130716 d'Avignon.Le PSMV d'Avignon a été mis au format SIG/CNIG par la Ville d'Avignon.Les données iniales proviennent de l'Etat sous format microstation.";"1/1000";"";"";"";"t";"845093.7530180392";"6318613.311556212";"4.807631622362308";"43.95157518935242";"43.95157518935242";"4.807631622362308"
"131";"Maison";"Maison";"PA00081921";"93";"";"Deux fenêtres à deux meneaux en croix avec la frise qui les surmonte : inscription par arrêté du 4 octobre 1932";"29 rue Grande-Fusterie";"http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00081921";"Inscrit";"";"Maison 29, rue Grande Fusterie";"";"1998 DI 241";"84007";"218400075";"20070612000000";"20130716000000";"";"Mairie Avignon";"Extraction des données relatifs aux monuments historiques du PSMV 20130716 d'Avignon.Le PSMV d'Avignon a été mis au format SIG/CNIG par la Ville d'Avignon.Les données iniales proviennent de l'Etat sous format microstation.";"1/1000";"";"";"";"t";"844833.7484124234";"6318569.669399278";"4.804381095156239";"43.95123604174985";"43.95123604174985";"4.804381095156239"
"132";"Hôtel de Raoulx";"Hôtel de Raoulx";"PA00081869";"65";"";"Façade, toiture et escalier : inscription par arrêté du 4 octobre 1932";"35 rue Bonneterie";"http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00081869";"Inscrit";"";"Hôtel de Raoulx";"";"1998 DK 751";"84007";"218400075";"20070612000000";"20130716000000";"";"Mairie Avignon";"Extraction des données relatifs aux monuments historiques du PSMV 20130716 d'Avignon.Le PSMV d'Avignon a été mis au format SIG/CNIG par la Ville d'Avignon.Les données iniales proviennent de l'Etat sous format microstation.";"1/1000";"";"";"";"t";"845217.2089364771";"6318183.825949073";"4.80904657990782";"43.94768554225841";"43.94768554225841";"4.80904657990782"
"133";"Maison de Forli, dite de la Reine Jeanne";"Maison de Forli, dite de la Reine Jeanne";"PA00081935";"78";"";"-Façade de la maison sise rue St-Etienne n° 22 : inscription par arrêté du 20 mai 1927-Façade de la maison sise rue St-Etienne n° 24 : inscription par arrêté du 20 mai 1927-Façade de la maison sise rue St-Etienne n° 24 bis : inscription par arrêté du 20 mai 1927";"24bis rue Saint-Étienne";"http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00081935";"Inscrit";"";"Maison des Forli, dite de la Reine Jeanne";"";"1998 DI 269, 270, 264";"84007";"218400075";"20070612000000";"20130716000000";"";"Mairie Avignon";"Extraction des données relatifs aux monuments historiques du PSMV 20130716 d'Avignon.Le PSMV d'Avignon a été mis au format SIG/CNIG par la Ville d'Avignon.Les données iniales proviennent de l'Etat sous format microstation.";"1/1000";"";"";"";"t";"844804.6740117468";"6318495.231153709";"4.803997820494417";"43.950572276347";"43.950572276347";"4.803997820494417"
"134";"Remparts et leurs abords";"Remparts et leurs abords";"PA00081943";"";"";"-Tour située 28 bd de la Ligne : inscription par arrêté du 01 février 1934-Tour n° 93 faisant partie des remparts : classement par arrêté du 11 septembre 1915-Tour n° 6 faisant partie des remparts : classement par arrêté du 18 juin 1915-Tour, dite du Châtelet, commandant l'accès du Pont Saint-Bénézet : classement par arrêté du 22 septembre 1914-Remparts, dans leur intégrité : classement par arrêté du 23 février 1906";"";"http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00081943";"Classé";"oui";"Remparts";"";"1998 DI 666, 502, 153, domaine public non cadastré";"84007";"218400075";"20070612000000";"20130716000000";"";"Mairie Avignon";"Extraction des données relatifs aux monuments historiques du PSMV 20130716 d'Avignon.Le PSMV d'Avignon a été mis au format SIG/CNIG par la Ville d'Avignon.Les données iniales proviennent de l'Etat sous format microstation.";"1/1000";"";"";"";"t";"844417.4078872995";"6318023.53515704";"4.799041011147187";"43.946407796006916";"43.946407796006916";"4.799041011147187"
"135";"Hôtel Peilhon de Faret";"Hôtel Peilhon de Faret";"PA00081868";"64";"";"-Façades et toitures sur rues, sur place et sur cour intérieure ; plafond au décor de stuc situé au deuxième étage (cad. DK 806) : inscription par arrêté du 6 juin 1988-Cariatides de l'Hôtel Peillon : inscription par arrêté du 4 octobre 1932";"4 rue de Rappe";"http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00081868";"Inscrit";"";"Hôtel Peilhon de Faret";"";"1998 DK 806";"84007";"218400075";"20070612000000";"20130716000000";"";"Mairie Avignon";"Extraction des données relatifs aux monuments historiques du PSMV 20130716 d'Avignon.Le PSMV d'Avignon a été mis au format SIG/CNIG par la Ville d'Avignon.Les données iniales proviennent de l'Etat sous format microstation.";"1/1000";"";"";"";"t";"845080.0459091796";"6318258.914379269";"4.807359872330926";"43.948389398811386";"43.948389398811386";"4.807359872330926"
"136";"Hôtel des Monnaies";"Hôtel des Monnaies";"PA00081864";"";"";"";"9 place du Palais";"http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00081864";"Classé";"";"Hôtel des Monnaies";"";"";"84007";"218400075";"20070612000000";"20130716000000";"";"Mairie Avignon";"Extraction des données relatifs aux monuments historiques du PSMV 20130716 d'Avignon.Le PSMV d'Avignon a été mis au format SIG/CNIG par la Ville d'Avignon.Les données iniales proviennent de l'Etat sous format microstation.";"1/1000";"";"";"";"t";"844987.3957209307";"6318510.217466932";"4.80627767084718";"43.95066952309862";"43.95066952309862";"4.80627767084718"
"137";"Hôtel de Montaigu";"Hôtel de Montaigu";"PA00081865";"";"";"Ensemble de l'hôtel de Montaigu y compris le décor intérieur : classement par arrêté du 8 septembre 1965";"37 rue du Four-de-la-Terre";"http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00081865";"Classé";"";"Hôtel de Montaigu (ancien)";"";"1998 DK 670, 671";"84007";"218400075";"20070612000000";"20130716000000";"";"Mairie Avignon";"Extraction des données relatifs aux monuments historiques du PSMV 20130716 d'Avignon.Le PSMV d'Avignon a été mis au format SIG/CNIG par la Ville d'Avignon.Les données iniales proviennent de l'Etat sous format microstation.";"1/1000";"";"";"";"t";"845441.4903968959";"6318106.335253684";"4.811817445148151";"43.946942063222515";"43.946942063222515";"4.811817445148151"
"138";"Immeuble";"Immeuble";"PA00081885";"84";"";"Les façades et toitures des immeubles sis sur le côté droit de la rue de la Balance et portant les numéros pairs, de 2 à 52 : inscription par arrêté du 20 novembre 1942";"Rue de la Balance";"http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00081885";"Inscrit";"";"Maison 30-32, rue de la Balance";"";"1998 DI 320";"84007";"218400075";"20070612000000";"20130716000000";"";"Mairie Avignon";"Extraction des données relatifs aux monuments historiques du PSMV 20130716 d'Avignon.Le PSMV d'Avignon a été mis au format SIG/CNIG par la Ville d'Avignon.Les données iniales proviennent de l'Etat sous format microstation.";"1/1000";"";"";"";"t";"844943.4270644477";"6318551.809518535";"4.805741940240764";"43.95105278881071";"43.95105278881071";"4.805741940240764"
"139";"Noviciat des Jésuites";"Noviciat des Jésuites";"PA00081940";"22'";"";"Les parties suivantes de l'Hospice St Louis : façades et couvertures des bâtiments entourant le cloître ; le cloître et son aire; l'entrée avec les galeries de part et d'autre de cette entrée et la chapelle : inscription par arrêté du 13 décembre 1950";"20, rue Portail Boquier";"http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00081940";"Inscrit";"";"Noviciat des Jésuites (ancien)";"";"1998 DH 316, 317, 318";"84007";"218400075";"20070612000000";"20130716000000";"";"Mairie Avignon";"Extraction des données relatifs aux monuments historiques du PSMV 20130716 d'Avignon.Le PSMV d'Avignon a été mis au format SIG/CNIG par la Ville d'Avignon.Les données iniales proviennent de l'Etat sous format microstation.";"1/1000";"";"";"";"t";"844867.3839074296";"6317748.8053739";"4.804566318310821";"43.94384357752709";"43.94384357752709";"4.804566318310821"
"140";"Hôtel de Beaumont de Teste";"Hôtel de Beaumont de Teste";"PA00081840";"";"";"Façades et  toitures sur rue, sur cour intérieure et sur jardin ; sol et murs du jardin ; fontaine adossée au mur du fond du jardin ; sol caladé de la cour intérieure ; grand escalier et sa rampe en fer forgé ; petit escalier et sa rampe en fer forgé ; grand salon, petit salon et chambre sur rue au premier étage et petit cabinet d'étude au deuxième étage (cad. DK 329) : classement par arrêté du 14 décembre 1992";"11 rue de la Croix";"http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00081840";"Classé";"";"Hôtel de Beaumont";"";"1998 DK 329";"84007";"218400075";"20070612000000";"20130716000000";"";"Mairie Avignon";"Extraction des données relatifs aux monuments historiques du PSMV 20130716 d'Avignon.Le PSMV d'Avignon a été mis au format SIG/CNIG par la Ville d'Avignon.Les données iniales proviennent de l'Etat sous format microstation.";"1/1000";"";"";"";"t";"845315.7156303608";"6318422.148684796";"4.810341354528168";"43.94980948206268";"43.94980948206268";"4.810341354528168"
"141";"Maison";"Maison";"PA00081919";"";"";"La niche avec statue de la vierge dans la maison sise 11 rue Banasterie : inscription par arrêté du 4 octobre 1932";"11 rue Banasterie";"http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00081919";"Inscrit";"";"Maison 11, rue Banasterie";"";"1998 DK 112";"84007";"218400075";"20070612000000";"20130716000000";"";"Mairie Avignon";"Extraction des données relatifs aux monuments historiques du PSMV 20130716 d'Avignon.Le PSMV d'Avignon a été mis au format SIG/CNIG par la Ville d'Avignon.Les données iniales proviennent de l'Etat sous format microstation.";"1/1000";"";"";"";"t";"845168.1800871702";"6318426.779027693";"4.8085053225555425";"43.94988156568084";"43.94988156568084";"4.8085053225555425"
