id;projet_millesime;projet_theme;projet_libelle;projet_localisation;projet_secteur;projet_statut;meta_datcreat;meta_datmaj;meta_source;meta_insee;meta_siren;meta_licence;meta_genealogie;meta_actif;projet_cout;projet_numero;porteur_collectif;projet_sous_theme;projet_description;type_sectorisation;secteur_numero;secteur_nom;meta_datsupp;meta_resolution;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
126;2018;aménagement de l'espace public;Aménagement espace autour de l'école de Massillargues;Ecole Massillargues;nord;mis au vote;20181107164449.560486;20181107172143.708343;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;;46;;;Rendre la rue André Le Nôtre à ses riverains, créer un parc ludique pour les enfants de l’école Massillargues et  aménager  une  traversée  piétonne  sécurisée  et  colorée  sur  la  rue  René  Cassin.  Expérimenter  une  zone  de dépose-minute « Bise et Hop » concertée avec les parents d’élèves, l’école et les enfants. L’école Massillargues dispose aujourd’hui d’un atout contrairement à d’autres écoles où l’entrée est tournée vers de grandes routes à forte circulation. L’idée ici est de profiter de la configuration de l’entrée de l’école pour offrir aux enfants un parvis arboré, non goudronné et implémenté de jeux adaptés à leur âge. Implantation de radars pédagogiques aux abords de la traversée piétonne, d’assises modulaires colorées en bois et d’arceaux vélos sur le parvis, de jeux dans le parc.;;;;;;84007-budgetParticipatif2018;847978.4412411848;6318408.979824682;4.8434977829515775;43.949136613351286;43.949136613351286;4.8434977829515775
83;2018;aménagement de l'espace public;Notre sécurité ;chemin de st Gabriel;secteur 3;retenu;20181022152424;20190117160148.666738;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;;25;Piétons / Cyclistes en danger;;"1ère partie : de l'intersection rue de la Garance / chemin St Gabrieljusqu'au stop
2ème partie : du stop à EDF
Mise en sécurité de cette partie 
ralentisseurs
passages protégés seront à matérialiser
rendre obligatoire la taille des haies bordant la totalité du chemin Saint Gabriel";;;;;;84007-budgetParticipatif2018;847157.6021941116;6315825.725477036;4.832528821285274;43.926066639559515;43.926066639559515;4.832528821285274
91;2018;aménagement de l'espace public;jeux d'eau au parc de l'abbaye de st ruf;parc de l'abbaye, espace jeux;secteur 3;retenu;20181022152424;20190117160148.666738;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;120000;34;;;aménagement de jeux d'eau pour enfants;;;;;;84007-budgetParticipatif2018;845637.4180046477;6316510.454905284;4.813800746252744;43.93254309688111;43.93254309688111;4.813800746252744
119;2018;aménagement de l'espace public;"Aménagement d'une aire de jeux pour les enfants
réhabilitation du terrain de pétanque
mise en place des zones de marquage afin de sécuriser deux allées";place du 8 mai 1945;secteur 3;retenu;20181022173041;20190117160148.666738;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;60000;32;comité des possibles croix des oiseaux;;"Aménagement d'une aire de jeux pour les enfants
réhabilitation du terrain de pétanque
mise en place des zones de marquage afin de sécuriser deux allées";;;;;;84007-budgetParticipatif2018;846331.7041814947;6316676.785587186;4.822492280540037;43.93389574627554;43.93389574627554;4.822492280540037
50;2018;mode de déplacement doux;Sécurisation pour les piétons de l'avenue St Catherine à Montfavet;avenue Ste Catherine;secteur 2;retenu;20181022152424;20190117160148.666738;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;;21;;;Aménager cette avenue comme une voie urbaine assurant la continuité entre les différents quartier de ville. Installation de l'écalirage public, piste dédiée aux piétons et cycles, mise en cohérence des installations;;;;;;84007-budgetParticipatif2018;849502.1286872723;6316432.061568552;4.8618920859142785;43.93102833851426;43.93102833851426;4.8618920859142785
69;2018;aménagement de l'espace public;Déplacement du cani-parc;au fond du parking du parc vers le bord de la rocade;secteur 1;retenu;20181022152424.574055;20190117160148.666738;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;50000;05;collectif des riverains du clos de massillargues;;"recréer l'aire pour chien sur le délaissé au fond du parking en annexant la partie sud est du parc lui-même souvent vandalisé 
réintégrer l'espace actuel au sein du parc";;;;;;84007-budgetParticipatif2018;847712.6694475019;6318609.295064789;4.8402461773999335;43.95099467663908;43.95099467663908;4.8402461773999335
95;2018;aménagement de l'espace public;Traverser autrement;"rue de la république
bord du Rhône (passage st Bénézet)
Arrêts de bus (Limbert, St Lazare, Thiers...)";tous secteurs;retenu;20181022152424;20181226095717.133573;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;;38-01;;;Faire des passages piétons un trompe l'œil version 3D qui permettrait aux usagers piétons de travserser sur les bandes en relief pls voyantes et qui feraient lever le pied aux automobilistes pensant aborder un ralentisseur;;;;;;84007-budgetParticipatif2018;844871.1420056731;6318748.033942262;4.804897576798642;43.95283315195945;43.95283315195945;4.804897576798642
99;2018;aménagement de l'espace public;Traverser autrement;"rue de la république
bord du Rhône (passage st Bénézet)
Arrêts de bus (Limbert, St Lazare, Thiers...)";tous secteurs;retenu;20181022170643;20181226095717.133573;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;;38-02;;;Faire des passages piétons un trompe l'œil version 3D qui permettrait aux usagers piétons de travserser sur les bandes en relief pls voyantes et qui feraient lever le pied aux automobilistes pensant aborder un ralentisseur;;;;;;84007-budgetParticipatif2018;846011.6203847866;6318613.837466636;4.819062871645811;43.951390238340046;43.951390238340046;4.819062871645811
100;2018;aménagement de l'espace public;Traverser autrement;"rue de la république
bord du Rhône (passage st Bénézet)
Arrêts de bus (Limbert, St Lazare, Thiers...)";tous secteurs;retenu;20181022170643;20181226095717.133573;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;;38-03;;;Faire des passages piétons un trompe l'œil version 3D qui permettrait aux usagers piétons de travserser sur les bandes en relief pls voyantes et qui feraient lever le pied aux automobilistes pensant aborder un ralentisseur;;;;;;84007-budgetParticipatif2018;845861.4675822955;6318072.964468415;4.817037844905965;43.94655497552144;43.94655497552144;4.817037844905965
101;2018;aménagement de l'espace public;Traverser autrement;"rue de la république
bord du Rhône (passage st Bénézet)
Arrêts de bus (Limbert, St Lazare, Thiers...)";tous secteurs;retenu;20181022170643;20181226095717.133573;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;;38-04;;;Faire des passages piétons un trompe l'œil version 3D qui permettrait aux usagers piétons de travserser sur les bandes en relief pls voyantes et qui feraient lever le pied aux automobilistes pensant aborder un ralentisseur;;;;;;84007-budgetParticipatif2018;845693.5547709076;6317785.57523354;4.814864574332107;43.94400401471187;43.94400401471187;4.814864574332107
