id;nom;type;ref_arrete;date_arrete;type_arrete;statut;resp_integration;code_lot;nb_places;surface;www;temps_a_pied;observations;annee_liste;festival_liste;festival_payant;annee_payant;annee_tarif;festival_tarif;annee_bus;festival_bus;meta_insee;meta_siren;meta_millesime;meta_datcreat;meta_datsupp;meta_datmaj;meta_source;meta_actif;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
13;Parking gare d'Avignon TGV (dépose minute) courte durée - EFFIA;P payant;;;;OK;;;;f;https://www.effia.com/parking/parking-gare-davignon-courte-duree-effia?vehicle=AUTO&qty=1&premium=FALSE&electric=FALSE&orderType=default;;;t;t;t;t;;;;;84007;218400075;2019;20190430165703;;20190502094608;Mairie Avignon/Circulation;t;84007-parkings;843303.0976637899;6315264.690948332;4.78438803366911;43.921813324604294;43.921813324604294;4.78438803366911
14;PARKING FABRICA;P+R gratuit;;;;OK;MAIRIEAVIGNON/SIG;;250;t;;15 minutes des  remparts;"PERIODE FESTIVAL
surveillé tous les jours de 8h à 2h
AUTRES PERIODES";f;t;f;f;gratuit;gratuit;"PERIODE FESTIVAL
Suivez jalonnement vers les arrêts de bus et rejoignez le centre -ville avec le réseau TCRA
Ligne 2  (arrêt R Schappler) : bus toutes les 20' vers la gare centre jusqu'à 1 h
Ligne 2  (arrêt La FabricA) : bus toutes les 30' vers la gare centre jusqu'à 20 h
dernier retour depuis le centre à 1h du matin
AUTRES PERIODES";"PERIODE FESTIVAL
Suivez jalonnement vers les arrêts de bus et rejoignez le centre -ville avec le réseau TCRA
Ligne 2  (arrêt R Schappler) : bus toutes les 20' vers la gare centre jusqu'à 1 h
Ligne 2  (arrêt La FabricA) : bus toutes les 30' vers la gare centre jusqu'à 20 h
dernier retour depuis le centre à 1h du matin
AUTRES PERIODES";84007;218400075;2016;20150526152000;;20160317100928;Mairie Avignon/Circulation;t;84007-parkings;844210.4444363799;6316523.724797764;4.796038818195509;43.93295600793698;43.93295600793698;4.796038818195509
15;PARKING MERINDOL;Horodateurs;;;;OK;MAIRIEAVIGNON/SIG;J03033;110;t;;2 minutes des remparts;;t;t;t;t;"Lundi au samedi 9 h -12h / 14h - 19 h
Tarif annuel (sauf juillet août) : Limitée à 5 h 01 Forfait 4 h Gratuite
5e h 0,50€ les 1/4 h
Tarif Juillet août 
0,20 € les 1/4 h jusqu’à 3 h, et 4e heure 1€ le 1/4";"Tarif Juillet août 
0,20 € les 1/4 h jusqu’à 3 h, et 4e heure 1€ le 1/4";;;84007;218400075;2016;20140422000000;;20160317100928;Mairie Avignon/Circulation;t;84007-parkings;844267.6952395703;6317678.299898747;4.797078789759294;43.94333229335617;43.94333229335617;4.797078789759294
16;PARKING DE L'OULLE;Horodateurs;;;;OK;MAIRIEAVIGNON/SIG;J03016;530;t;;2 minutes des remparts;;t;t;t;t;"Lundi au samedi 9 h -12h / 14h - 19 h
Tarif annuel (sauf juillet août) : Limitée à 5 h 01 Forfait 4 h Gratuite
5e h 0,50€ les 1/4 h
Tarif Juillet août 
0,20 € les 1/4 h jusqu’à 3 h, et 4e heure 1€ le 1/4";"Tarif Juillet août 
0,20 € les 1/4 h jusqu’à 3 h, et 4e heure 1€ le 1/4";;;84007;218400075;2016;20140422000000;;20160317100928;Mairie Avignon/Circulation;t;84007-parkings;844492.9480491639;6318256.3248785995;4.800047802243974;43.94848678227701;43.94848678227701;4.800047802243974
17;PARKING JACQUES TATI;Horodateurs;;;;OK;MAIRIEAVIGNON/SIG;;110;t;;6 minutes des remparts;;t;t;t;t;"Lundi au samedi 9 h -12h / 14h - 19 h
Tarif annuel (sauf juillet août) : Limitée à 5 h 01 Forfait 4 h Gratuite
5e h 0,50€ les 1/4 h
Tarif Juillet août 
0,20 € les 1/4 h jusqu’à 3 h, et 4e heure 1€ le 1/4";"Tarif Juillet août 
0,20 € les 1/4 h jusqu’à 3 h, et 4e heure 1€ le 1/4";;;84007;218400075;2016;20140422000000;;20160317100928;Mairie Avignon/Circulation;t;84007-parkings;845851.8914359885;6317758.886637037;4.816828587020331;43.94373112496162;43.94373112496162;4.816828587020331
18;PARKING ST CHARLES;P payant;;;;OK;MAIRIEAVIGNON/SIG;;190;t;;;;t;t;t;t;"1 h : 1,40 €
1 journée : 9,60 €";"1 h : 1,40 €
1 journée : 9,60 €";;;84007;218400075;2016;20140422000000;;20190430162839;Mairie Avignon/Circulation;t;84007-parkings;844710.9357812677;6317575.855690964;4.8025689998011005;43.942319660125534;43.942319660125534;4.8025689998011005
19;PARLING ILE PIOT;P+R gratuit;;;;OK;MAIRIEAVIGNON/SIG;;1100;t;;13 minutes des remparts;"PERIODE FESTIVAL
Surveillé tous les jours de 7h30 à 2h00
AUTRES PERIODES
Surveillé tous les jours de 7h30 à 20h30";t;t;f;f;P+R gratuit;P+R gratuit;"Parking surveillé
** Navettes bus gratuites **
- Du lundi au vendredi de 7h15 à 20h34
- Le samedi de 13h03 à 20h34
(toutes les 10 min.)";"PERIODE FESTIVAL
Bus gratuits de 7h à 1h - toutes les 5' de 10h à 1h
Service fonctionnant 7 jours sur 7
AUTRES PERIODES
Bus gratuits de 7h à 1h - toutes les 5' de 10h à 1h";84007;218400075;2016;20140422000000;;20160317100928;Mairie Avignon/Circulation;t;84007-parkings;843941.5465119347;6318494.000465989;4.79324821157964;43.950738125728634;43.950738125728634;4.79324821157964
20;PARKING LES HALLES;P payant;;;;OK;MAIRIEAVIGNON/SIG;J03004;580;f;;;"** * PERIODE FESTIVAL* **
** * Accès limité après 13h (Abonnements et prépaiements uniquement) * **";t;t;t;t;"1/4 h : 0,40€ - 1 h : 1,60 €
Forfait soirée: 2 € de 20 h à 1 h 
Tarif nuit : 5 € de 20 h à 8 h 
1 journée : 16.20 €";"1/4 h : 0,40€ - 1 h : 1,60 €
Forfait soirée: 2 € de 20 h à 1 h 
Tarif nuit : 5 € de 20 h à 8 h 
1 journée : 16.20 €";;;84007;218400075;2016;20140422000000;;20160317100928;Mairie Avignon/Circulation;t;84007-parkings;845308.1182724765;6318154.400279395;4.810170286390102;43.94740204334096;43.94740204334096;4.810170286390102
21;PARKING DE L'ORATOIRE;P payant;;;;OK;MAIRIEAVIGNON/SIG;J03007;675;f;;;;t;t;t;t;"1/4 h : 0,40€ 
Forfait soirée 4€ de 20 h à 1 h
1 journée : 25 .50 €";"1/4 h : 0,40€ 
Forfait soirée 4€ de 20 h à 1 h
1 journée : 25 .50 €";;;84007;218400075;2016;20140422000000;;20160317100928;Mairie Avignon/Circulation;t;84007-parkings;844623.1044077536;6318435.5325326435;4.80171961818987;43.95007245515612;43.95007245515612;4.80171961818987
22;PARKING DES ITALIENS;P+R gratuit;;;;OK;MAIRIEAVIGNON/SIG;J03010;1400;t;;4 minutes des remparts;"PERIODE FESTIVAL
Parking surveillé de 7h30 à 2h
Service fonctionnant 7 jours sur 7
AUTRES PERIODES
Parking surveille de 7h30 à 20h30";t;t;f;f;gratuit;gratuit;"Parking surveillé
** Navettes bus gratuites (CityZen) **
- toutes les 4 min de 7h à 20h,
- toutes les 20 minde 20h à minuit
Du lundi au jeudi de 7h à 22h28,
Vendredi et samedi de 7h à 23h54
Dimanche et jours fériés de 8h à 19h30 (toutes les 30 min.)";"PERIODE FESTIVAL
Navettes CityZen gratuites de 7h à 1h du parking des Italiens* à la place Pie et retour.
Un départ toutes les 5' de 10h à 1h
Service fonctionnant 7 jours sur 7
AUTRES PERIODES
Navettes bus gratuites (toutes les 10 minutes)
lundi  au jeudi : 7h30-22h
vendredi à samedi : 7h30-24h

* au parking des Italiens, vous recevrez gratuitement un titre aller-retour (tarif normal 0.50 €)";84007;218400075;2016;20140422000000;;20160317100928;Mairie Avignon/Circulation;t;84007-parkings;846290.5519002355;6318884.517704066;4.822614487307783;43.95376774009814;43.95376774009814;4.822614487307783
23;PARKING EFFIA GARE CENTRE;P payant;;;;OK;MAIRIEAVIGNON/SIG;;103;t;https://www.effia.com/parking/parking-gare-davignon-centre-effia?vehicle=AUTO&qty=1&premium=FALSE&electric=FALSE&orderType=default;;;t;t;t;t;;;;;84007;218400075;2019;20140422000000;;20190430165241;Mairie Avignon/Circulation;t;84007-parkings;844962.7909095169;6317579.060634267;4.805706013697456;43.94229671303397;43.94229671303397;4.805706013697456
24;PARKING JEAN JAURES;P payant;;;;OK;MAIRIEAVIGNON/SIG;J03029;715;f;https://fr.parkindigo.com/parking/avignon-84000/jean-jaures-84000300;;;t;t;t;t;"1/4 h : 0,40€ 
Forfait soirée 4€ de 20 h à 1 h
1 journée : 25 .50€";"1/4 h : 0,40€ 
Forfait soirée 4€ de 20 h à 1 h
1 journée : 25 .50€";;;84007;218400075;2016;20140422000000;;20190430170900;Mairie Avignon/Circulation;t;84007-parkings;844957.2110014624;6317691.5138762975;4.80566855878958;43.94330963192891;43.94330963192891;4.80566855878958
25;PARKING GARE CENTRE;P payant;;;;OK;;;778;f;;;;t;t;t;t;;;;;84007;218400075;2019;20190430162839;;20190430165241;Mairie Avignon/Circulation;t;84007-parkings;845029.8276403657;6317536.595135442;4.80652865510468;43.94190084202009;43.94190084202009;4.80652865510468
26;Parking Avignon Courtine P7 - EFFIA;P payant;;;;OK;;;;f;https://www.effia.com/parking/parking-avignon-courtine-effia?vehicle=AUTO&qty=1&premium=FALSE&electric=FALSE&orderType=default;;;t;t;t;t;;;;;84007;218400075;2019;20190430165839;;20190502094608;Mairie Avignon/Circulation;t;84007-parkings;842977.2617608592;6315346.417002676;4.780355092480475;43.922614815589576;43.922614815589576;4.780355092480475
27;PARKING RELAIS;P+R gratuit;;;;OK;MAIRIEAVIGNON/SIG;;;f;;;;t;t;f;f;;;;;84007;218400075;2019;20190502094218;;20190502094608;Mairie Avignon/Circulation;t;84007-parkings;848150.2639184883;6315846.574152997;4.8448918522293125;43.92604621166981;43.92604621166981;4.8448918522293125
28;Parking gare d'Avignon TGV P6 - EFFIA ;P payant;;;;OK;;;;f;https://www.effia.com/parking/parking-gare-davignon-p6-effia?vehicle=AUTO&qty=1&premium=FALSE&electric=FALSE&orderType=default;;;t;t;t;t;;;;;84007;218400075;2019;20190430163640;;20190430165241;Mairie Avignon/Circulation;t;84007-parkings;843107.4625827266;6315344.146834496;4.78197516716264;43.92256796152051;43.92256796152051;4.78197516716264
