id;nature;couleur;nb_places;date_realisation;observations;meta_insee;meta_siren;meta_datcreat;meta_datmaj;meta_datsupp;meta_source;meta_actif;meta_resolution_spatiale;meta_licence;meta_observations;meta_genealogie;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
17;festival;bleu;3;20171019;;84007;218400075;20171121161628.88;20171121161628.88;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;847098.8789733947;6317942.128229473;4.832409304672061;43.94512049113878;43.94512049113878;4.832409304672061
18;festival;;3;20171018;;84007;218400075;20171123140751.875;20171123140751.875;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;847315.6639194532;6318046.369442115;4.835138994355178;43.946013065574924;43.946013065574924;4.835138994355178
19;festival;bleu;2;20171018;;84007;218400075;20171123140751.875;20171123140751.875;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;847227.5123233427;6317878.925986798;4.833992830221969;43.94452497450608;43.94452497450608;4.833992830221969
20;festival;bleu;2;20171018;;84007;218400075;20171123140751.875;20171123140751.875;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;847142.5925809457;6317857.974659277;4.832929319623448;43.94435421510842;43.94435421510842;4.832929319623448
21;festival;bleu;2;20171018;;84007;218400075;20171123140751.875;20171123140751.875;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;847227.5123233427;6317878.925986798;4.833992830221969;43.94452497450608;43.94452497450608;4.833992830221969
3;festival;gris;3;20171102;;84007;218400075;20171121150107.115;20171127160807.016;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;845517.7711614892;6317998.804077934;4.812736621892131;43.945958822910534;43.945958822910534;4.812736621892131
22;festival;gris;3;20171207;;84007;218400075;20171211095922.99;20171211095922.99;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;844568.9992100708;6315202.658573683;4.800127801170031;43.920996648778406;43.920996648778406;4.800127801170031
24;festival;bleu;5;;;84007;218400075;20171211095922.99;20171211095922.99;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;851644.3349519167;6314949.3411432905;4.8881194565192905;43.917230600508496;43.917230600508496;4.8881194565192905
23;festival;gris;5;20171208;;84007;218400075;20171211095922.99;20171215090726.948;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;844958.3540000999;6315433.847557415;4.80504003229149;43.92299670798553;43.92299670798553;4.80504003229149
25;festival;bleu;3;20171215;;84007;218400075;20171215090727.026;20171215090727.026;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;846503.1626620523;6317523.637999561;4.824870662821381;43.941479397111756;43.941479397111756;4.824870662821381
26;festival;bleu;3;20171215;;84007;218400075;20171215090727.026;20171215090727.026;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;846490.7924633566;6317518.511610912;4.824715156830533;43.941435846464984;43.941435846464984;4.824715156830533
29;festival;bleu;4;;;84007;218400075;20180319141955.655;20180319141955.655;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;851698.4747481273;6314852.457268747;4.888764443699686;43.91634729495079;43.91634729495079;4.888764443699686
30;festival;bleu;4;;;84007;218400075;20180319141955.655;20180319141955.655;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;851861.1008107398;6314794.909159085;4.890771337752718;43.91579451797693;43.91579451797693;4.890771337752718
31;festival;bleu;2;20180131;;84007;218400075;20180319141955.655;20180319141955.655;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;851540.5162868922;6314976.604080983;4.886835415066678;43.91749821371582;43.91749821371582;4.886835415066678
32;festival;bleu;6;20180131;;84007;218400075;20180319141955.655;20180319141955.655;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;850293.3559677332;6316799.35934069;4.8718507261780095;43.93416459583519;43.93416459583519;4.8718507261780095
33;festival;bleu;4;20180131;;84007;218400075;20180319141955.655;20180319141955.655;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;850339.9181375677;6316755.52942532;4.872417482207229;43.93376032250025;43.93376032250025;4.872417482207229
34;festival;bleu;3;20180131;;84007;218400075;20180319141955.655;20180319141955.655;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;850351.6440629787;6316970.751386377;4.872627025804463;43.9356941799792;43.9356941799792;4.872627025804463
35;festival;bleu;3;20180131;;84007;218400075;20180319141955.655;20180319141955.655;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;850412.778256624;6317289.514407249;4.873482345384917;43.938549056435036;43.938549056435036;4.873482345384917
36;festival;bleu;3;20180131;;84007;218400075;20180319141955.655;20180319141955.655;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;850446.7037495592;6316914.341716077;4.873793878944103;43.935166367173245;43.935166367173245;4.873793878944103
37;festival;bleu;3;20180131;;84007;218400075;20180319141955.655;20180319141955.655;;Mairie Avignon / Pôle Paysages Urbains / DPT Aménagement Mobilité;t;;Licence ouverte / Open licence : lO / Ol (Etalab);;;84007-veloArceaux;850528.3298516894;6316934.378248819;4.874816063404725;43.93532920123549;43.93532920123549;4.874816063404725
